ID,HT,AT,HG,AG,TG,RSL,MDATE,RD,HODD,DODD,AODD,YR,CHAMP
OUD85vE7,Vasco,Internacional,1,1,2,1,2006-04-15,1,2.51,3.27,2.40,2006,serie-a
pvF46Kb1,Juventude,Parana,1,0,1,0,2006-04-15,1,1.89,3.28,3.52,2006,serie-a
4rnVMuqr,Santa Cruz,Figueirense,0,0,0,1,2006-04-16,1,1.73,3.30,4.18,2006,serie-a
Cjf3RLzR,Botafogo RJ,Fortaleza,1,0,1,0,2006-04-16,1,1.52,3.58,5.53,2006,serie-a
jy6fTs6E,Sao Paulo,Flamengo RJ,1,0,1,0,2006-04-16,1,1.43,3.78,6.45,2006,serie-a
QczvLJDf,Goias,Santos,0,0,0,1,2006-04-16,1,1.91,3.30,3.48,2006,serie-a
rZpZLabl,Palmeiras,Ponte Preta,2,3,5,2,2006-04-16,1,1.36,4.04,7.50,2006,serie-a
xY1jUNj8,Gremio,Corinthians,2,0,2,0,2006-04-16,1,2.57,3.30,2.32,2006,serie-a
xYwrKwT0,Atletico-PR,Fluminense,1,2,3,2,2006-04-16,1,2.03,3.23,3.15,2006,serie-a
YaeaS1LK,Sao Caetano,Cruzeiro,2,1,3,0,2006-04-16,1,2.18,3.23,2.87,2006,serie-a
AoxjIHcD,Fluminense,Goias,1,0,1,0,2006-04-22,2,1.96,3.23,3.31,2006,serie-a
n3LYt1zE,Figueirense,Palmeiras,6,1,7,0,2006-04-22,2,2.30,3.18,2.70,2006,serie-a
WfwnJcr7,Corinthians,Sao Caetano,3,0,3,0,2006-04-22,2,1.67,3.37,4.45,2006,serie-a
CSDKXdc0,Parana,Botafogo RJ,0,0,0,1,2006-04-23,2,1.90,3.26,3.49,2006,serie-a
dxB8zaDs,Ponte Preta,Vasco,1,2,3,2,2006-04-23,2,2.17,3.23,2.86,2006,serie-a
IiaHYxrf,Cruzeiro,Gremio,3,1,4,0,2006-04-23,2,1.58,3.42,5.17,2006,serie-a
jJCOWGC6,Fortaleza,Sao Paulo,1,0,1,0,2006-04-23,2,2.32,3.17,2.68,2006,serie-a
KGJtuu5Q,Santos,Atletico-PR,2,0,2,0,2006-04-23,2,1.69,3.43,4.48,2006,serie-a
QgKxtLkK,Internacional,Santa Cruz,1,0,1,0,2006-04-23,2,1.53,3.53,5.61,2006,serie-a
v10DZISm,Flamengo RJ,Juventude,3,1,4,0,2006-04-23,2,1.87,3.29,3.59,2006,serie-a
0lfFgvKJ,Sao Paulo,Santa Cruz,4,0,4,0,2006-04-29,3,1.44,3.68,6.63,2006,serie-a
no6XUfsJ,Botafogo RJ,Atletico-PR,0,4,4,2,2006-04-29,3,1.67,3.42,4.33,2006,serie-a
Ys2TVzSC,Fortaleza,Sao Caetano,2,1,3,0,2006-04-29,3,2.13,3.15,3.00,2006,serie-a
4MxboGRa,Vasco,Fluminense,1,1,2,1,2006-04-30,3,2.58,3.17,2.43,2006,serie-a
bPZkmxcm,Parana,Gremio,5,2,7,0,2006-04-30,3,2.20,3.16,2.89,2006,serie-a
hnZgndCg,Palmeiras,Santos,1,2,3,2,2006-04-30,3,2.50,3.14,2.50,2006,serie-a
KYznlIss,Ponte Preta,Corinthians,3,2,5,0,2006-04-30,3,2.79,3.15,2.24,2006,serie-a
noS2pzs6,Juventude,Goias,1,1,2,1,2006-04-30,3,1.88,3.23,3.53,2006,serie-a
QyR6qfdC,Figueirense,Cruzeiro,0,2,2,2,2006-04-30,3,2.23,3.18,2.81,2006,serie-a
vugJhbZP,Internacional,Flamengo RJ,1,0,1,0,2006-04-30,3,1.76,3.34,3.90,2006,serie-a
fBVArEBI,Santa Cruz,Ponte Preta,1,1,2,1,2006-05-06,4,2.07,3.21,3.08,2006,serie-a
WzgvRoto,Fluminense,Parana,2,1,3,0,2006-05-06,4,1.50,3.54,5.89,2006,serie-a
YuXMkVIo,Santos,Fortaleza,2,0,2,0,2006-05-06,4,1.55,3.50,5.33,2006,serie-a
08jWomIA,Corinthians,Sao Paulo,1,3,4,2,2006-05-07,4,2.42,3.14,2.58,2006,serie-a
KdZYnT24,Atletico-PR,Internacional,1,2,3,2,2006-05-07,4,1.84,3.27,3.73,2006,serie-a
nPhrqo2T,Cruzeiro,Juventude,2,0,2,0,2006-05-07,4,1.46,3.69,6.13,2006,serie-a
nqyRlkYi,Gremio,Vasco,1,2,3,2,2006-05-07,4,1.73,3.29,4.21,2006,serie-a
t6zVm9mb,Sao Caetano,Palmeiras,2,0,2,0,2006-05-07,4,1.90,3.27,3.58,2006,serie-a
vakzo7XG,Goias,Figueirense,2,1,3,0,2006-05-07,4,1.60,3.38,5.14,2006,serie-a
YLlvpRnN,Flamengo RJ,Botafogo RJ,1,0,1,0,2006-05-07,4,2.38,3.17,2.61,2006,serie-a
h6VAv5Ap,Sao Caetano,Juventude,0,2,2,2,2006-05-13,5,1.60,3.48,4.85,2006,serie-a
KCNd282i,Santos,Ponte Preta,3,1,4,0,2006-05-13,5,1.39,3.89,7.15,2006,serie-a
WdUEwPPj,Botafogo RJ,Gremio,2,2,4,1,2006-05-13,5,1.79,3.28,3.93,2006,serie-a
b3M01SHc,Santa Cruz,Atletico-PR,1,2,3,2,2006-05-14,5,2.32,3.23,2.65,2006,serie-a
CQSGcpHM,Flamengo RJ,Fortaleza,0,0,0,1,2006-05-14,5,1.68,3.44,4.30,2006,serie-a
tSB50nX3,Internacional,Sao Paulo,3,1,4,0,2006-05-14,5,2.02,3.24,3.22,2006,serie-a
U1NLd4WS,Parana,Corinthians,1,2,3,2,2006-05-14,5,3.05,3.23,2.09,2006,serie-a
vDU8a6nA,Figueirense,Fluminense,1,0,1,0,2006-05-14,5,2.08,3.22,3.04,2006,serie-a
WA9mhOvp,Goias,Vasco,2,0,2,0,2006-05-14,5,1.54,3.51,5.29,2006,serie-a
YZTCbQ1G,Palmeiras,Cruzeiro,1,1,2,1,2006-05-14,5,2.46,3.20,2.50,2006,serie-a
KWkrE513,Sao Paulo,Sao Caetano,1,0,1,0,2006-05-20,6,1.46,3.71,6.04,2006,serie-a
QX8iirfj,Atletico-PR,Goias,2,3,5,2,2006-05-20,6,1.92,3.26,3.44,2006,serie-a
ttivFonc,Internacional,Figueirense,2,4,6,2,2006-05-20,6,1.42,3.83,6.61,2006,serie-a
vyDej29d,Fortaleza,Parana,1,1,2,1,2006-05-20,6,1.73,3.32,4.20,2006,serie-a
2FsaAN0S,Ponte Preta,Gremio,1,1,2,1,2006-05-21,6,1.80,3.28,3.84,2006,serie-a
6mljCqWF,Cruzeiro,Flamengo RJ,2,1,3,0,2006-05-21,6,1.64,3.35,4.71,2006,serie-a
boTU41Ok,Juventude,Botafogo RJ,1,0,1,0,2006-05-21,6,1.82,3.27,3.77,2006,serie-a
KfUQ5s9q,Fluminense,Santos,1,0,1,0,2006-05-21,6,2.09,3.19,3.07,2006,serie-a
lCweB3oM,Palmeiras,Santa Cruz,2,1,3,0,2006-05-21,6,1.49,3.63,5.76,2006,serie-a
SdknDPG9,Vasco,Corinthians,2,4,6,2,2006-05-21,6,2.53,3.18,2.43,2006,serie-a
2F3UP20F,Sao Caetano,Atletico-PR,2,1,3,0,2006-05-24,7,1.98,3.24,3.27,2006,serie-a
8GALROV2,Cruzeiro,Ponte Preta,5,1,6,0,2006-05-24,7,1.44,3.73,6.31,2006,serie-a
Au7xOtVR,Fortaleza,Fluminense,2,5,7,2,2006-05-24,7,2.18,3.23,2.84,2006,serie-a
fDMw3ug2,Parana,Figueirense,0,0,0,1,2006-05-24,7,1.90,3.25,3.55,2006,serie-a
GMNZ3Lwd,Juventude,Santa Cruz,4,1,5,0,2006-05-24,7,1.45,3.72,6.31,2006,serie-a
KjEPQro9,Sao Paulo,Palmeiras,4,1,5,0,2006-05-24,7,1.65,3.38,4.63,2006,serie-a
t62YOMFL,Flamengo RJ,Santos,2,2,4,1,2006-05-24,7,2.45,3.20,2.52,2006,serie-a
8GnDHv8e,Corinthians,Internacional,0,1,1,2,2006-05-25,7,2.21,3.23,2.83,2006,serie-a
Clg4J0wq,Botafogo RJ,Vasco,4,1,5,0,2006-05-25,7,2.52,3.17,2.47,2006,serie-a
fDr9IKhk,Gremio,Goias,2,0,2,0,2006-05-25,7,2.22,3.21,2.82,2006,serie-a
2wnHGbN1,Figueirense,Fortaleza,0,0,0,1,2006-05-27,8,1.59,3.45,5.10,2006,serie-a
tUpLFIx8,Ponte Preta,Parana,2,5,7,2,2006-05-27,8,1.94,3.23,3.42,2006,serie-a
UahgOAt8,Atletico-PR,Juventude,1,0,1,0,2006-05-27,8,2.03,3.24,3.18,2006,serie-a
0nFQ52Qt,Santos,Corinthians,2,0,2,0,2006-05-28,8,1.83,3.27,3.73,2006,serie-a
4vCs2KP5,Vasco,Sao Paulo,1,1,2,1,2006-05-28,8,2.66,3.20,2.34,2006,serie-a
8jicNUeE,Internacional,Cruzeiro,1,1,2,1,2006-05-28,8,1.99,3.22,3.23,2006,serie-a
dE8Z3teg,Fluminense,Flamengo RJ,1,0,1,0,2006-05-28,8,1.92,3.27,3.43,2006,serie-a
EkJU4Mum,Santa Cruz,Botafogo RJ,1,1,2,1,2006-05-28,8,2.27,3.19,2.73,2006,serie-a
rVAo1vuC,Palmeiras,Gremio,0,1,1,2,2006-05-28,8,1.90,3.24,3.56,2006,serie-a
z57w30Aa,Goias,Sao Caetano,2,1,3,0,2006-05-28,8,1.56,3.47,5.23,2006,serie-a
AHY8IuAn,Flamengo RJ,Palmeiras,2,1,3,0,2006-05-31,9,1.89,3.26,3.54,2006,serie-a
htv4JLft,Sao Caetano,Internacional,1,1,2,1,2006-05-31,9,2.42,3.18,2.56,2006,serie-a
jXixO1nP,Fortaleza,Vasco,1,1,2,1,2006-05-31,9,1.95,3.25,3.36,2006,serie-a
l8XCHaPh,Gremio,Santos,1,0,1,0,2006-05-31,9,2.51,3.18,2.48,2006,serie-a
Qg0j0bfI,Juventude,Ponte Preta,0,1,1,2,2006-05-31,9,1.55,3.54,5.21,2006,serie-a
rVWGGJva,Sao Paulo,Fluminense,1,0,1,0,2006-05-31,9,1.68,3.38,4.43,2006,serie-a
xU3faI9O,Cruzeiro,Atletico-PR,1,1,2,1,2006-05-31,9,1.55,3.54,5.33,2006,serie-a
dYzLFwf5,Parana,Santa Cruz,3,0,3,0,2006-06-01,9,1.42,3.75,6.64,2006,serie-a
ImPTDHOH,Corinthians,Goias,0,1,1,2,2006-06-01,9,1.90,3.28,3.47,2006,serie-a
vcQPEc9B,Botafogo RJ,Figueirense,2,3,5,2,2006-06-01,9,1.93,3.24,3.39,2006,serie-a
44NyCegU,Fortaleza,Cruzeiro,0,2,2,2,2006-06-03,10,2.59,3.21,2.36,2006,serie-a
QDOXCyvO,Fluminense,Internacional,2,3,5,2,2006-06-03,10,2.06,3.20,3.15,2006,serie-a
URlrXvPu,Gremio,Sao Caetano,1,1,2,1,2006-06-03,10,1.71,3.35,4.25,2006,serie-a
4I2AQf8N,Santos,Botafogo RJ,0,0,0,1,2006-06-04,10,1.43,3.75,6.53,2006,serie-a
6Xq7RzgH,Juventude,Sao Paulo,1,1,2,1,2006-06-04,10,2.49,3.18,2.48,2006,serie-a
CAp3SGwB,Goias,Parana,1,2,3,2,2006-06-04,10,1.70,3.37,4.25,2006,serie-a
GrifUx9b,Corinthians,Flamengo RJ,0,2,2,2,2006-06-04,10,1.72,3.32,4.21,2006,serie-a
rVhnWbvn,Atletico-PR,Palmeiras,2,0,2,0,2006-06-04,10,1.67,3.41,4.46,2006,serie-a
xhhjVIgh,Vasco,Santa Cruz,2,1,3,0,2006-06-04,10,1.45,3.79,6.15,2006,serie-a
YJoaTdO4,Ponte Preta,Figueirense,3,0,3,0,2006-06-04,10,2.24,3.18,2.78,2006,serie-a
6oPutz8A,Sao Caetano,Botafogo RJ,1,1,2,1,2006-07-12,11,1.82,3.31,3.77,2006,serie-a
bLLXsdwb,Sao Paulo,Gremio,2,1,3,0,2006-07-12,11,1.41,3.81,7.08,2006,serie-a
COPysGh4,Figueirense,Santos,2,1,3,0,2006-07-12,11,2.33,3.22,2.66,2006,serie-a
GdWSrxOi,Fluminense,Juventude,3,2,5,0,2006-07-12,11,1.56,3.55,5.20,2006,serie-a
ljvsLYVp,Internacional,Ponte Preta,2,0,2,0,2006-07-12,11,1.41,3.80,7.22,2006,serie-a
nshFPENT,Cruzeiro,Corinthians,2,0,2,0,2006-07-12,11,1.64,3.41,4.70,2006,serie-a
x6XOqI8o,Atletico-PR,Fortaleza,0,0,0,1,2006-07-12,11,1.53,3.60,5.46,2006,serie-a
4vvowYiT,Palmeiras,Vasco,4,2,6,0,2006-07-13,11,1.73,3.35,4.19,2006,serie-a
pxOqufNG,Santa Cruz,Goias,2,1,3,0,2006-07-13,11,3.06,3.18,2.11,2006,serie-a
QmusvExN,Flamengo RJ,Parana,1,4,5,2,2006-07-13,11,2.00,3.24,3.28,2006,serie-a
MJQCYi0p,Botafogo RJ,Ponte Preta,4,1,5,0,2006-07-15,12,1.75,3.37,4.07,2006,serie-a
zNUGXBFj,Sao Paulo,Figueirense,2,1,3,0,2006-07-15,12,1.43,3.82,6.35,2006,serie-a
670GhDiG,Flamengo RJ,Vasco,0,1,1,2,2006-07-16,12,2.08,3.21,3.09,2006,serie-a
AwSmz5yk,Parana,Atletico-PR,2,1,3,0,2006-07-16,12,2.19,3.21,2.90,2006,serie-a
GGSqyoMr,Juventude,Internacional,2,0,2,0,2006-07-16,12,2.16,3.22,2.98,2006,serie-a
GI73eF7c,Sao Caetano,Santos,2,0,2,0,2006-07-16,12,2.44,3.13,2.56,2006,serie-a
lUQiZOje,Fortaleza,Santa Cruz,1,4,5,2,2006-07-16,12,1.57,3.54,5.11,2006,serie-a
OrBBggxA,Palmeiras,Corinthians,1,0,1,0,2006-07-16,12,2.62,3.18,2.38,2006,serie-a
phC7fZM3,Cruzeiro,Goias,0,0,0,1,2006-07-16,12,1.50,3.65,5.81,2006,serie-a
xS8adehi,Gremio,Fluminense,4,4,8,1,2006-07-16,12,2.26,3.15,2.83,2006,serie-a
65LdYr61,Figueirense,Gremio,2,0,2,0,2006-07-22,13,1.74,3.35,4.09,2006,serie-a
ba8rdnb8,Corinthians,Fortaleza,2,2,4,1,2006-07-22,13,1.51,3.57,5.69,2006,serie-a
C2Cne6DE,Fluminense,Sao Caetano,2,2,4,1,2006-07-22,13,1.55,3.59,5.19,2006,serie-a
pdK0X2L7,Parana,Cruzeiro,1,0,1,0,2006-07-22,13,2.24,3.19,2.82,2006,serie-a
CQjVnrLf,Internacional,Botafogo RJ,0,0,0,1,2006-07-23,13,1.81,3.35,3.89,2006,serie-a
fR1ifQSK,Ponte Preta,Sao Paulo,1,3,4,2,2006-07-23,13,2.64,3.22,2.34,2006,serie-a
jB2Ml4jr,Santa Cruz,Flamengo RJ,3,0,3,0,2006-07-23,13,1.85,3.31,3.78,2006,serie-a
QTfZo2z1,Goias,Palmeiras,1,3,4,2,2006-07-23,13,1.67,3.41,4.44,2006,serie-a
U11QmO5l,Santos,Juventude,3,2,5,0,2006-07-23,13,1.58,3.55,5.00,2006,serie-a
YH0egprR,Vasco,Atletico-PR,2,1,3,0,2006-07-23,13,2.17,3.23,2.93,2006,serie-a
bsgspt5D,Sao Caetano,Ponte Preta,1,1,2,1,2006-07-29,14,1.51,3.68,5.58,2006,serie-a
KjfwoMk7,Juventude,Figueirense,1,0,1,0,2006-07-29,14,2.00,3.23,3.29,2006,serie-a
zaxQ8PsE,Palmeiras,Parana,4,2,6,0,2006-07-29,14,1.99,3.23,3.29,2006,serie-a
4KF801kf,Fluminense,Botafogo RJ,1,1,2,1,2006-07-30,14,1.76,3.35,4.06,2006,serie-a
8CzY63CQ,Vasco,Cruzeiro,1,0,1,0,2006-07-30,14,2.47,3.17,2.53,2006,serie-a
CpJGbuK6,Goias,Fortaleza,1,1,2,1,2006-07-30,14,1.51,3.60,5.84,2006,serie-a
EkyU7qcK,Atletico-PR,Flamengo RJ,1,0,1,0,2006-07-30,14,1.69,3.41,4.36,2006,serie-a
QTG41szl,Sao Paulo,Santos,0,4,4,2,2006-07-30,14,2.10,3.23,3.05,2006,serie-a
r5Ra2NKs,Santa Cruz,Corinthians,1,0,1,0,2006-07-30,14,2.56,3.17,2.44,2006,serie-a
YgKCaL40,Internacional,Gremio,0,0,0,1,2006-07-30,14,2.20,3.35,2.95,2006,serie-a
06aBKMtQ,Corinthians,Atletico-PR,2,1,3,0,2006-08-05,15,1.75,3.34,4.09,2006,serie-a
8CCPdJlJ,Figueirense,Sao Caetano,1,1,2,1,2006-08-05,15,1.70,3.40,4.33,2006,serie-a
f98LcaZC,Gremio,Juventude,1,0,1,0,2006-08-05,15,1.77,3.30,4.09,2006,serie-a
MF07L2RJ,Flamengo RJ,Goias,1,0,1,0,2006-08-05,15,1.83,3.29,3.76,2006,serie-a
4z4WFtks,Botafogo RJ,Sao Paulo,1,1,2,1,2006-08-06,15,2.21,3.22,2.92,2006,serie-a
C6fiBI3C,Fortaleza,Palmeiras,0,0,0,1,2006-08-06,15,2.46,3.17,2.54,2006,serie-a
ji6rDvZa,Ponte Preta,Fluminense,3,0,3,0,2006-08-06,15,2.51,3.17,2.49,2006,serie-a
rR2zF04m,Santos,Internacional,2,1,3,0,2006-08-06,15,1.44,3.71,6.52,2006,serie-a
xl2vEKJg,Parana,Vasco,2,1,3,0,2006-08-06,15,1.58,3.53,5.00,2006,serie-a
YFemCbl6,Cruzeiro,Santa Cruz,3,3,6,1,2006-08-06,15,1.36,4.06,7.50,2006,serie-a
KWca9dYO,Sao Caetano,Santa Cruz,2,0,2,0,2006-08-12,16,1.56,3.55,5.24,2006,serie-a
MyxrYuBP,Flamengo RJ,Ponte Preta,0,0,0,1,2006-08-12,16,1.62,3.50,4.75,2006,serie-a
rur9TaJt,Corinthians,Figueirense,1,3,4,2,2006-08-12,16,1.75,3.35,4.03,2006,serie-a
ttaeAxJI,Juventude,Vasco,0,0,0,1,2006-08-12,16,1.84,3.27,3.76,2006,serie-a
6sZTOyYB,Sao Paulo,Goias,2,1,3,0,2006-08-13,16,1.83,3.31,3.76,2006,serie-a
CKZPPHI5,Fortaleza,Internacional,1,2,3,2,2006-08-13,16,2.06,3.22,3.10,2006,serie-a
GhtHRwlg,Gremio,Atletico-PR,2,0,2,0,2006-08-13,16,2.31,3.22,2.70,2006,serie-a
KpwYNemI,Parana,Santos,1,1,2,1,2006-08-13,16,2.18,3.19,2.93,2006,serie-a
x2sDSJYn,Botafogo RJ,Palmeiras,1,3,4,2,2006-08-13,16,2.31,3.21,2.69,2006,serie-a
YTzMQc3a,Cruzeiro,Fluminense,2,3,5,2,2006-08-13,16,1.77,3.33,3.96,2006,serie-a
0ri26THp,Ponte Preta,Fortaleza,1,3,4,2,2006-08-16,17,1.58,3.45,5.20,2006,serie-a
6uvlUW9i,Santa Cruz,Gremio,2,4,6,2,2006-08-16,17,2.10,3.20,3.06,2006,serie-a
pWxhTjPc,Goias,Botafogo RJ,2,2,4,1,2006-08-16,17,1.69,3.33,4.50,2006,serie-a
SfSdSAv4,Figueirense,Flamengo RJ,1,1,2,1,2006-08-16,17,1.61,3.42,4.94,2006,serie-a
tbW0RUgA,Fluminense,Corinthians,1,2,3,2,2006-08-16,17,1.86,3.31,3.63,2006,serie-a
vZk65mXj,Vasco,Sao Caetano,1,2,3,2,2006-08-16,17,1.78,3.32,3.90,2006,serie-a
EBU8P8OM,Palmeiras,Juventude,1,1,2,1,2006-08-17,17,1.60,3.48,4.86,2006,serie-a
zLV4Ql9G,Santos,Cruzeiro,2,0,2,0,2006-08-17,17,1.71,3.34,4.28,2006,serie-a
SIAqJ61j,Ponte Preta,Goias,3,2,5,0,2006-08-19,18,2.10,3.20,3.07,2006,serie-a
vgEmIQGd,Flamengo RJ,Gremio,1,0,1,0,2006-08-19,18,2.11,3.19,3.02,2006,serie-a
C6WpNzKL,Figueirense,Atletico-PR,3,3,6,1,2006-08-20,18,1.65,3.42,4.65,2006,serie-a
jirxPdk9,Cruzeiro,Sao Paulo,2,2,4,1,2006-08-20,18,2.30,3.19,2.72,2006,serie-a
MHwYPxz3,Santos,Vasco,0,2,2,2,2006-08-20,18,1.49,3.64,6.11,2006,serie-a
MuMKGYdk,Corinthians,Botafogo RJ,1,0,1,0,2006-08-20,18,1.57,3.46,5.35,2006,serie-a
Q9zkMfZR,Parana,Sao Caetano,1,0,1,0,2006-08-20,18,1.69,3.42,4.32,2006,serie-a
rkNGHEsq,Internacional,Palmeiras,1,1,2,1,2006-08-20,18,1.83,3.28,3.87,2006,serie-a
rRvUQIKd,Fluminense,Santa Cruz,1,1,2,1,2006-08-20,18,1.40,4.02,6.65,2006,serie-a
UsstOG4F,Fortaleza,Juventude,4,1,5,0,2006-08-20,18,2.08,3.17,3.11,2006,serie-a
faq7xGJ8,Santa Cruz,Santos,1,1,2,1,2006-08-23,19,2.57,3.18,2.44,2006,serie-a
GEXFzflL,Sao Caetano,Flamengo RJ,2,2,4,1,2006-08-23,19,1.72,3.34,4.21,2006,serie-a
l2hHFhCe,Goias,Internacional,2,2,4,1,2006-08-23,19,2.24,3.20,2.84,2006,serie-a
plxKZD3R,Atletico-PR,Ponte Preta,3,0,3,0,2006-08-23,19,1.71,3.38,4.25,2006,serie-a
ShiLECR1,Palmeiras,Fluminense,3,0,3,0,2006-08-23,19,1.85,3.28,3.70,2006,serie-a
tdu3wd42,Botafogo RJ,Cruzeiro,1,0,1,0,2006-08-23,19,2.60,3.18,2.41,2006,serie-a
xOYByzZE,Juventude,Corinthians,0,0,0,1,2006-08-23,19,2.09,3.20,3.08,2006,serie-a
ncOoVXBr,Gremio,Fortaleza,4,1,5,0,2006-08-24,19,1.69,3.37,4.43,2006,serie-a
tdHfTBte,Vasco,Figueirense,3,1,4,0,2006-08-24,19,1.85,3.29,3.68,2006,serie-a
ULDjUiRl,Sao Paulo,Parana,3,2,5,0,2006-08-24,19,1.61,3.47,4.86,2006,serie-a
E9F2RkB7,Santos,Goias,2,1,3,0,2006-08-26,20,1.44,3.76,6.64,2006,serie-a
jRbojZm8,Cruzeiro,Sao Caetano,3,0,3,0,2006-08-26,20,1.79,3.30,3.94,2006,serie-a
zJGbSVe1,Fluminense,Atletico-PR,1,2,3,2,2006-08-26,20,1.69,3.37,4.37,2006,serie-a
8WzxtkQ0,Fortaleza,Botafogo RJ,2,3,5,2,2006-08-27,20,1.93,3.22,3.49,2006,serie-a
MFxUsBel,Figueirense,Santa Cruz,2,0,2,0,2006-08-27,20,1.52,3.60,5.63,2006,serie-a
OvcglDIK,Parana,Juventude,0,1,1,2,2006-08-27,20,1.57,3.57,5.11,2006,serie-a
rPwQritr,Corinthians,Gremio,0,2,2,2,2006-08-27,20,1.81,3.29,3.86,2006,serie-a
UHckkg3E,Internacional,Vasco,1,2,3,2,2006-08-27,20,1.61,3.46,4.88,2006,serie-a
UuxYtVAf,Ponte Preta,Palmeiras,1,1,2,1,2006-08-27,20,2.76,3.11,2.32,2006,serie-a
xr1cmXXQ,Flamengo RJ,Sao Paulo,1,1,2,1,2006-08-27,20,2.50,3.15,2.51,2006,serie-a
4bUpvTfD,Juventude,Flamengo RJ,1,0,1,0,2006-08-30,21,1.78,3.29,4.01,2006,serie-a
C2z1p4Hn,Goias,Fluminense,3,1,4,0,2006-08-30,21,2.08,3.19,3.10,2006,serie-a
fRudop2t,Atletico-PR,Santos,2,1,3,0,2006-08-30,21,2.41,3.16,2.61,2006,serie-a
I1IS2CXD,Sao Caetano,Corinthians,0,1,1,2,2006-08-30,21,2.17,3.17,2.96,2006,serie-a
jeQtu9u7,Gremio,Cruzeiro,2,1,3,0,2006-08-30,21,2.16,3.18,2.97,2006,serie-a
jgZ4qOWh,Santa Cruz,Internacional,0,2,2,2,2006-08-30,21,2.53,3.16,2.49,2006,serie-a
pGY8rrna,Palmeiras,Figueirense,1,1,2,1,2006-08-30,21,1.64,3.42,4.65,2006,serie-a
4GuLutWH,Vasco,Ponte Preta,2,2,4,1,2006-08-31,21,1.53,3.59,5.39,2006,serie-a
QPtHtMGB,Sao Paulo,Fortaleza,1,1,2,1,2006-08-31,21,1.26,4.78,9.32,2006,serie-a
r1iCs215,Botafogo RJ,Parana,4,0,4,0,2006-08-31,21,2.34,3.17,2.70,2006,serie-a
CtqTwK0U,Flamengo RJ,Internacional,1,2,3,2,2006-09-02,22,2.41,3.13,2.63,2006,serie-a
YkpPv0oO,Cruzeiro,Figueirense,2,2,4,1,2006-09-02,22,1.75,3.37,4.02,2006,serie-a
4WTreLV4,Goias,Juventude,2,0,2,0,2006-09-03,22,1.79,3.31,3.98,2006,serie-a
j7EwbNon,Santos,Palmeiras,5,1,6,0,2006-09-03,22,1.86,3.27,3.77,2006,serie-a
jmWfhJFN,Corinthians,Ponte Preta,1,0,1,0,2006-09-03,22,1.49,3.61,5.98,2006,serie-a
OKCod1Gb,Atletico-PR,Botafogo RJ,0,5,5,2,2006-09-03,22,1.74,3.36,4.12,2006,serie-a
pUDscs1h,Sao Caetano,Fortaleza,0,0,0,1,2006-09-03,22,1.63,3.43,4.79,2006,serie-a
rNSnfuoB,Fluminense,Vasco,1,1,2,1,2006-09-03,22,2.52,3.16,2.48,2006,serie-a
x4AZb3Wu,Gremio,Parana,2,1,3,0,2006-09-03,22,1.73,3.36,4.17,2006,serie-a
xpSjga0H,Santa Cruz,Sao Paulo,1,3,4,2,2006-09-03,22,2.99,3.21,2.13,2006,serie-a
Oz19BtGo,Palmeiras,Sao Caetano,3,1,4,0,2006-09-09,23,1.57,3.52,5.19,2006,serie-a
YBLaiwVT,Ponte Preta,Santa Cruz,2,0,2,0,2006-09-09,23,1.56,3.52,5.34,2006,serie-a
zL7Rncwo,Vasco,Gremio,1,1,2,1,2006-09-09,23,2.11,3.20,3.05,2006,serie-a
2RaDA0Vi,Figueirense,Goias,2,2,4,1,2006-09-10,23,1.64,3.45,4.70,2006,serie-a
dQhM8v04,Parana,Fluminense,1,0,1,0,2006-09-10,23,1.91,3.27,3.58,2006,serie-a
jmhQ7bFA,Juventude,Cruzeiro,2,0,2,0,2006-09-10,23,1.98,3.24,3.36,2006,serie-a
nFoZ5xpN,Internacional,Atletico-PR,2,0,2,0,2006-09-10,23,1.56,3.49,5.33,2006,serie-a
pjkI9Kpb,Sao Paulo,Corinthians,0,0,0,1,2006-09-10,23,2.05,3.20,3.18,2006,serie-a
Q5pw5daT,Fortaleza,Santos,1,1,2,1,2006-09-10,23,2.96,3.20,2.17,2006,serie-a
UwiU6IUG,Botafogo RJ,Flamengo RJ,0,2,2,2,2006-09-10,23,2.19,3.18,2.91,2006,serie-a
bgFiOJai,Corinthians,Parana,1,0,1,0,2006-09-16,24,1.66,3.42,4.61,2006,serie-a
dly9azNj,Vasco,Goias,0,0,0,1,2006-09-16,24,1.80,3.30,3.98,2006,serie-a
roX40G7p,Atletico-PR,Santa Cruz,2,1,3,0,2006-09-16,24,1.38,3.95,7.34,2006,serie-a
00KFIFTS,Ponte Preta,Santos,1,0,1,0,2006-09-17,24,2.93,3.16,2.23,2006,serie-a
296sEZyp,Fortaleza,Flamengo RJ,3,4,7,2,2006-09-17,24,2.29,3.15,2.79,2006,serie-a
6wLBJeEM,Fluminense,Figueirense,2,0,2,0,2006-09-17,24,2.14,3.16,3.04,2006,serie-a
ABR2LHqA,Sao Paulo,Internacional,2,0,2,0,2006-09-17,24,2.05,3.18,3.19,2006,serie-a
hzH7KyaG,Cruzeiro,Palmeiras,1,0,1,0,2006-09-17,24,1.96,3.23,3.43,2006,serie-a
WKSbMcU3,Juventude,Sao Caetano,1,0,1,0,2006-09-17,24,1.65,3.39,4.78,2006,serie-a
