ID,HT,AT,HG,AG,TG,RSL,MDATE,RD,HODD,DODD,AODD,YR,CHAMP,BPTA,BGFA,BGAA,BGB,RPTA,RGFA,RGAA,RGD
OUD85vE7,Vasco,Internacional,1,1,2,1,2006-04-15,1,2.51,3.27,2.4,2006,serie-a,1,1,1,1,1,1,1,1
pvF46Kb1,Juventude,Parana,1,0,1,0,2006-04-15,1,1.89,3.28,3.52,2006,serie-a,1,1,1,1,0,0,0,0
4rnVMuqr,Santa Cruz,Figueirense,0,0,0,1,2006-04-16,1,1.73,3.3,4.18,2006,serie-a,1,1,1,1,1,1,1,1
Cjf3RLzR,Botafogo RJ,Fortaleza,1,0,1,0,2006-04-16,1,1.52,3.58,5.53,2006,serie-a,1,1,1,1,0,0,0,0
jy6fTs6E,Sao Paulo,Flamengo RJ,1,0,1,0,2006-04-16,1,1.43,3.78,6.45,2006,serie-a,1,1,1,1,0,0,0,0
QczvLJDf,Goias,Santos,0,0,0,1,2006-04-16,1,1.91,3.3,3.48,2006,serie-a,1,1,1,1,1,1,1,1
rZpZLabl,Palmeiras,Ponte Preta,2,3,5,2,2006-04-16,1,1.36,4.04,7.5,2006,serie-a,1,1,1,1,0,0,0,0
xY1jUNj8,Gremio,Corinthians,2,0,2,0,2006-04-16,1,2.57,3.3,2.32,2006,serie-a,1,1,1,1,0,0,0,0
xYwrKwT0,Atletico-PR,Fluminense,1,2,3,2,2006-04-16,1,2.03,3.23,3.15,2006,serie-a,1,1,1,1,0,0,0,0
YaeaS1LK,Sao Caetano,Cruzeiro,2,1,3,0,2006-04-16,1,2.18,3.23,2.87,2006,serie-a,1,1,1,1,0,0,0,0
AoxjIHcD,Fluminense,Goias,1,0,1,0,2006-04-22,2,1.96,3.23,3.31,2006,serie-a,0,0,2,0,1,1,0,1
n3LYt1zE,Figueirense,Palmeiras,6,1,7,0,2006-04-22,2,2.3,3.18,2.7,2006,serie-a,0,2,0,0,1,0,1,1
WfwnJcr7,Corinthians,Sao Caetano,3,0,3,0,2006-04-22,2,1.67,3.37,4.45,2006,serie-a,2,2,2,2,0,0,0,0
CSDKXdc0,Parana,Botafogo RJ,0,0,0,1,2006-04-23,2,1.9,3.26,3.49,2006,serie-a,2,2,2,2,0,0,0,0
dxB8zaDs,Ponte Preta,Vasco,1,2,3,2,2006-04-23,2,2.17,3.23,2.86,2006,serie-a,0,0,2,0,0,0,1,0
IiaHYxrf,Cruzeiro,Gremio,3,1,4,0,2006-04-23,2,1.58,3.42,5.17,2006,serie-a,2,2,2,2,0,0,0,0
jJCOWGC6,Fortaleza,Sao Paulo,1,0,1,0,2006-04-23,2,2.32,3.17,2.68,2006,serie-a,2,2,2,2,0,0,0,0
KGJtuu5Q,Santos,Atletico-PR,2,0,2,0,2006-04-23,2,1.69,3.43,4.48,2006,serie-a,0,2,0,0,1,0,1,1
QgKxtLkK,Internacional,Santa Cruz,1,0,1,0,2006-04-23,2,1.53,3.53,5.61,2006,serie-a,1,0,2,1,0,1,0,0
v10DZISm,Flamengo RJ,Juventude,3,1,4,0,2006-04-23,2,1.87,3.29,3.59,2006,serie-a,2,2,2,2,0,0,0,0
0lfFgvKJ,Sao Paulo,Santa Cruz,4,0,4,0,2006-04-29,3,1.44,3.68,6.63,2006,serie-a,0,0,1,0,1,1,0,1
no6XUfsJ,Botafogo RJ,Atletico-PR,0,4,4,2,2006-04-29,3,1.67,3.42,4.33,2006,serie-a,0,1,0,0,0,0,0,0
Ys2TVzSC,Fortaleza,Sao Caetano,2,1,3,0,2006-04-29,3,2.13,3.15,3.0,2006,serie-a,1,2,0,0,0,0,1,1
4MxboGRa,Vasco,Fluminense,1,1,2,1,2006-04-30,3,2.58,3.17,2.43,2006,serie-a,2,1,2,2,0,1,0,0
bPZkmxcm,Parana,Gremio,5,2,7,0,2006-04-30,3,2.2,3.16,2.89,2006,serie-a,2,2,0,2,0,0,1,0
hnZgndCg,Palmeiras,Santos,1,2,3,2,2006-04-30,3,2.5,3.14,2.5,2006,serie-a,2,0,2,2,1,0,1,1
KYznlIss,Ponte Preta,Corinthians,3,2,5,0,2006-04-30,3,2.79,3.15,2.24,2006,serie-a,1,0,2,2,0,1,0,0
noS2pzs6,Juventude,Goias,1,1,2,1,2006-04-30,3,1.88,3.23,3.53,2006,serie-a,0,0,2,1,0,0,0,1
QyR6qfdC,Figueirense,Cruzeiro,0,2,2,2,2006-04-30,3,2.23,3.18,2.81,2006,serie-a,0,0,0,0,0,0,0,0
vugJhbZP,Internacional,Flamengo RJ,1,0,1,0,2006-04-30,3,1.76,3.34,3.9,2006,serie-a,0,2,0,1,1,0,1,0
fBVArEBI,Santa Cruz,Ponte Preta,1,1,2,1,2006-05-06,4,2.07,3.21,3.08,2006,serie-a,2,2,0,2,0,0,0,0
WzgvRoto,Fluminense,Parana,2,1,3,0,2006-05-06,4,1.5,3.54,5.89,2006,serie-a,0,2,0,1,1,0,1,0
YuXMkVIo,Santos,Fortaleza,2,0,2,0,2006-05-06,4,1.55,3.5,5.33,2006,serie-a,0,0,0,0,1,1,1,1
08jWomIA,Corinthians,Sao Paulo,1,3,4,2,2006-05-07,4,2.42,3.14,2.58,2006,serie-a,2,1,2,2,1,0,1,1
KdZYnT24,Atletico-PR,Internacional,1,2,3,2,2006-05-07,4,1.84,3.27,3.73,2006,serie-a,2,0,2,2,1,0,1,1
nPhrqo2T,Cruzeiro,Juventude,2,0,2,0,2006-05-07,4,1.46,3.69,6.13,2006,serie-a,0,0,0,0,1,1,1,1
nqyRlkYi,Gremio,Vasco,1,2,3,2,2006-05-07,4,1.73,3.29,4.21,2006,serie-a,2,0,2,2,1,0,1,1
t6zVm9mb,Sao Caetano,Palmeiras,2,0,2,0,2006-05-07,4,1.9,3.27,3.58,2006,serie-a,0,2,0,0,1,0,1,1
vakzo7XG,Goias,Figueirense,2,1,3,0,2006-05-07,4,1.6,3.38,5.14,2006,serie-a,2,2,0,2,0,0,1,0
YLlvpRnN,Flamengo RJ,Botafogo RJ,1,0,1,0,2006-05-07,4,2.38,3.17,2.61,2006,serie-a,2,0,0,0,0,1,1,1
h6VAv5Ap,Sao Caetano,Juventude,0,2,2,2,2006-05-13,5,1.6,3.48,4.85,2006,serie-a,0,0,1,0,0,0,0,0
KCNd282i,Santos,Ponte Preta,3,1,4,0,2006-05-13,5,1.39,3.89,7.15,2006,serie-a,0,2,0,0,1,0,1,1
WdUEwPPj,Botafogo RJ,Gremio,2,2,4,1,2006-05-13,5,1.79,3.28,3.93,2006,serie-a,0,2,0,1,0,0,0,1
b3M01SHc,Santa Cruz,Atletico-PR,1,2,3,2,2006-05-14,5,2.32,3.23,2.65,2006,serie-a,2,2,1,2,1,1,0,1
CQSGcpHM,Flamengo RJ,Fortaleza,0,0,0,1,2006-05-14,5,1.68,3.44,4.3,2006,serie-a,1,0,0,0,1,0,0,0
tSB50nX3,Internacional,Sao Paulo,3,1,4,0,2006-05-14,5,2.02,3.24,3.22,2006,serie-a,0,2,1,2,1,0,0,0
U1NLd4WS,Parana,Corinthians,1,2,3,2,2006-05-14,5,3.05,3.23,2.09,2006,serie-a,0,1,0,0,0,0,0,0
vDU8a6nA,Figueirense,Fluminense,1,0,1,0,2006-05-14,5,2.08,3.22,3.04,2006,serie-a,2,0,2,2,0,1,0,0
WA9mhOvp,Goias,Vasco,2,0,2,0,2006-05-14,5,1.54,3.51,5.29,2006,serie-a,2,2,0,2,0,0,1,0
YZTCbQ1G,Palmeiras,Cruzeiro,1,1,2,1,2006-05-14,5,2.46,3.2,2.5,2006,serie-a,2,2,2,2,0,0,0,0
KWkrE513,Sao Paulo,Sao Caetano,1,0,1,0,2006-05-20,6,1.46,3.71,6.04,2006,serie-a,0,0,0,0,1,1,1,1
QX8iirfj,Atletico-PR,Goias,2,3,5,2,2006-05-20,6,1.92,3.26,3.44,2006,serie-a,2,0,2,2,1,0,1,1
ttivFonc,Internacional,Figueirense,2,4,6,2,2006-05-20,6,1.42,3.83,6.61,2006,serie-a,0,1,0,0,0,0,0,0
vyDej29d,Fortaleza,Parana,1,1,2,1,2006-05-20,6,1.73,3.32,4.2,2006,serie-a,0,2,0,2,0,0,0,0
2FsaAN0S,Ponte Preta,Gremio,1,1,2,1,2006-05-21,6,1.8,3.28,3.84,2006,serie-a,0,0,0,0,0,0,0,0
6mljCqWF,Cruzeiro,Flamengo RJ,2,1,3,0,2006-05-21,6,1.64,3.35,4.71,2006,serie-a,0,0,2,0,1,1,0,1
boTU41Ok,Juventude,Botafogo RJ,1,0,1,0,2006-05-21,6,1.82,3.27,3.77,2006,serie-a,0,0,0,0,1,1,1,1
KfUQ5s9q,Fluminense,Santos,1,0,1,0,2006-05-21,6,2.09,3.19,3.07,2006,serie-a,2,2,2,2,0,0,0,0
lCweB3oM,Palmeiras,Santa Cruz,2,1,3,0,2006-05-21,6,1.49,3.63,5.76,2006,serie-a,2,0,2,2,0,1,0,0
SdknDPG9,Vasco,Corinthians,2,4,6,2,2006-05-21,6,2.53,3.18,2.43,2006,serie-a,0,2,0,0,0,1,0,0
2F3UP20F,Sao Caetano,Atletico-PR,2,1,3,0,2006-05-24,7,1.98,3.24,3.27,2006,serie-a,1,2,0,2,0,0,1,0
8GALROV2,Cruzeiro,Ponte Preta,5,1,6,0,2006-05-24,7,1.44,3.73,6.31,2006,serie-a,0,0,0,0,1,1,1,1
Au7xOtVR,Fortaleza,Fluminense,2,5,7,2,2006-05-24,7,2.18,3.23,2.84,2006,serie-a,2,2,2,2,1,1,1,1
fDMw3ug2,Parana,Figueirense,0,0,0,1,2006-05-24,7,1.9,3.25,3.55,2006,serie-a,2,2,2,2,0,0,0,0
GMNZ3Lwd,Juventude,Santa Cruz,4,1,5,0,2006-05-24,7,1.45,3.72,6.31,2006,serie-a,0,0,0,0,1,1,1,1
KjEPQro9,Sao Paulo,Palmeiras,4,1,5,0,2006-05-24,7,1.65,3.38,4.63,2006,serie-a,0,0,0,0,1,1,1,1
t62YOMFL,Flamengo RJ,Santos,2,2,4,1,2006-05-24,7,2.45,3.2,2.52,2006,serie-a,2,2,2,2,0,0,0,0
8GnDHv8e,Corinthians,Internacional,0,1,1,2,2006-05-25,7,2.21,3.23,2.83,2006,serie-a,2,0,2,2,1,0,1,1
Clg4J0wq,Botafogo RJ,Vasco,4,1,5,0,2006-05-25,7,2.52,3.17,2.47,2006,serie-a,2,2,0,2,0,0,1,0
fDr9IKhk,Gremio,Goias,2,0,2,0,2006-05-25,7,2.22,3.21,2.82,2006,serie-a,2,0,2,2,0,1,0,0
2wnHGbN1,Figueirense,Fortaleza,0,0,0,1,2006-05-27,8,1.59,3.45,5.1,2006,serie-a,0,0,0,0,0,0,0,0
tUpLFIx8,Ponte Preta,Parana,2,5,7,2,2006-05-27,8,1.94,3.23,3.42,2006,serie-a,0,0,2,2,0,0,1,1
UahgOAt8,Atletico-PR,Juventude,1,0,1,0,2006-05-27,8,2.03,3.24,3.18,2006,serie-a,2,0,2,2,0,1,0,0
0nFQ52Qt,Santos,Corinthians,2,0,2,0,2006-05-28,8,1.83,3.27,3.73,2006,serie-a,0,2,0,0,1,0,1,1
4vCs2KP5,Vasco,Sao Paulo,1,1,2,1,2006-05-28,8,2.66,3.2,2.34,2006,serie-a,2,2,2,2,0,0,0,0
8jicNUeE,Internacional,Cruzeiro,1,1,2,1,2006-05-28,8,1.99,3.22,3.23,2006,serie-a,1,2,2,2,1,0,0,0
dE8Z3teg,Fluminense,Flamengo RJ,1,0,1,0,2006-05-28,8,1.92,3.27,3.43,2006,serie-a,0,0,0,0,1,1,1,1
EkJU4Mum,Santa Cruz,Botafogo RJ,1,1,2,1,2006-05-28,8,2.27,3.19,2.73,2006,serie-a,2,2,2,2,0,0,0,0
rVAo1vuC,Palmeiras,Gremio,0,1,1,2,2006-05-28,8,1.9,3.24,3.56,2006,serie-a,2,2,2,2,1,1,1,1
z57w30Aa,Goias,Sao Caetano,2,1,3,0,2006-05-28,8,1.56,3.47,5.23,2006,serie-a,0,0,0,0,1,1,1,1
AHY8IuAn,Flamengo RJ,Palmeiras,2,1,3,0,2006-05-31,9,1.89,3.26,3.54,2006,serie-a,0,2,0,0,1,0,1,1
htv4JLft,Sao Caetano,Internacional,1,1,2,1,2006-05-31,9,2.42,3.18,2.56,2006,serie-a,2,2,2,2,0,0,0,0
jXixO1nP,Fortaleza,Vasco,1,1,2,1,2006-05-31,9,1.95,3.25,3.36,2006,serie-a,1,2,0,0,1,0,0,0
l8XCHaPh,Gremio,Santos,1,0,1,0,2006-05-31,9,2.51,3.18,2.48,2006,serie-a,2,2,2,2,0,0,0,0
Qg0j0bfI,Juventude,Ponte Preta,0,1,1,2,2006-05-31,9,1.55,3.54,5.21,2006,serie-a,0,2,0,0,0,1,0,0
rVWGGJva,Sao Paulo,Fluminense,1,0,1,0,2006-05-31,9,1.68,3.38,4.43,2006,serie-a,2,0,2,0,0,1,0,1
xU3faI9O,Cruzeiro,Atletico-PR,1,1,2,1,2006-05-31,9,1.55,3.54,5.33,2006,serie-a,0,0,0,0,0,0,0,0
dYzLFwf5,Parana,Santa Cruz,3,0,3,0,2006-06-01,9,1.42,3.75,6.64,2006,serie-a,0,0,0,0,1,1,1,1
ImPTDHOH,Corinthians,Goias,0,1,1,2,2006-06-01,9,1.9,3.28,3.47,2006,serie-a,2,0,2,2,1,0,1,1
vcQPEc9B,Botafogo RJ,Figueirense,2,3,5,2,2006-06-01,9,1.93,3.24,3.39,2006,serie-a,2,2,2,2,1,1,1,1
44NyCegU,Fortaleza,Cruzeiro,0,2,2,2,2006-06-03,10,2.59,3.21,2.36,2006,serie-a,2,2,2,2,1,1,1,1
QDOXCyvO,Fluminense,Internacional,2,3,5,2,2006-06-03,10,2.06,3.2,3.15,2006,serie-a,0,1,0,0,0,0,0,0
URlrXvPu,Gremio,Sao Caetano,1,1,2,1,2006-06-03,10,1.71,3.35,4.25,2006,serie-a,0,0,1,0,0,0,1,0
4I2AQf8N,Santos,Botafogo RJ,0,0,0,1,2006-06-04,10,1.43,3.75,6.53,2006,serie-a,0,0,0,0,0,0,0,0
6Xq7RzgH,Juventude,Sao Paulo,1,1,2,1,2006-06-04,10,2.49,3.18,2.48,2006,serie-a,2,2,2,2,0,0,0,0
CAp3SGwB,Goias,Parana,1,2,3,2,2006-06-04,10,1.7,3.37,4.25,2006,serie-a,0,2,0,2,0,1,0,1
GrifUx9b,Corinthians,Flamengo RJ,0,2,2,2,2006-06-04,10,1.72,3.32,4.21,2006,serie-a,2,0,2,2,1,0,1,1
rVhnWbvn,Atletico-PR,Palmeiras,2,0,2,0,2006-06-04,10,1.67,3.41,4.46,2006,serie-a,0,0,0,0,1,1,1,1
xhhjVIgh,Vasco,Santa Cruz,2,1,3,0,2006-06-04,10,1.45,3.79,6.15,2006,serie-a,0,0,0,0,1,1,1,1
YJoaTdO4,Ponte Preta,Figueirense,3,0,3,0,2006-06-04,10,2.24,3.18,2.78,2006,serie-a,2,2,2,2,0,0,0,0
6oPutz8A,Sao Caetano,Botafogo RJ,1,1,2,1,2006-07-12,11,1.82,3.31,3.77,2006,serie-a,0,1,2,2,0,1,0,0
bLLXsdwb,Sao Paulo,Gremio,2,1,3,0,2006-07-12,11,1.41,3.81,7.08,2006,serie-a,0,0,0,0,1,1,1,1
COPysGh4,Figueirense,Santos,2,1,3,0,2006-07-12,11,2.33,3.22,2.66,2006,serie-a,2,0,2,2,0,1,0,0
GdWSrxOi,Fluminense,Juventude,3,2,5,0,2006-07-12,11,1.56,3.55,5.2,2006,serie-a,0,0,1,0,1,1,0,1
ljvsLYVp,Internacional,Ponte Preta,2,0,2,0,2006-07-12,11,1.41,3.8,7.22,2006,serie-a,0,2,0,0,1,0,1,1
nshFPENT,Cruzeiro,Corinthians,2,0,2,0,2006-07-12,11,1.64,3.41,4.7,2006,serie-a,0,0,0,0,1,1,1,1
x6XOqI8o,Atletico-PR,Fortaleza,0,0,0,1,2006-07-12,11,1.53,3.6,5.46,2006,serie-a,0,0,1,0,0,0,1,0
4vvowYiT,Palmeiras,Vasco,4,2,6,0,2006-07-13,11,1.73,3.35,4.19,2006,serie-a,2,2,2,2,0,0,0,0
pxOqufNG,Santa Cruz,Goias,2,1,3,0,2006-07-13,11,3.06,3.18,2.11,2006,serie-a,2,2,2,2,0,0,0,0
QmusvExN,Flamengo RJ,Parana,1,4,5,2,2006-07-13,11,2.0,3.24,3.28,2006,serie-a,2,2,0,2,1,1,0,1
MJQCYi0p,Botafogo RJ,Ponte Preta,4,1,5,0,2006-07-15,12,1.75,3.37,4.07,2006,serie-a,2,2,0,0,0,0,1,1
zNUGXBFj,Sao Paulo,Figueirense,2,1,3,0,2006-07-15,12,1.43,3.82,6.35,2006,serie-a,0,0,0,0,1,1,1,1
670GhDiG,Flamengo RJ,Vasco,0,1,1,2,2006-07-16,12,2.08,3.21,3.09,2006,serie-a,0,2,0,0,0,1,0,0
AwSmz5yk,Parana,Atletico-PR,2,1,3,0,2006-07-16,12,2.19,3.21,2.9,2006,serie-a,0,0,0,0,1,1,1,1
GGSqyoMr,Juventude,Internacional,2,0,2,0,2006-07-16,12,2.16,3.22,2.98,2006,serie-a,2,2,2,2,0,0,0,0
GI73eF7c,Sao Caetano,Santos,2,0,2,0,2006-07-16,12,2.44,3.13,2.56,2006,serie-a,2,2,2,2,0,0,0,0
lUQiZOje,Fortaleza,Santa Cruz,1,4,5,2,2006-07-16,12,1.57,3.54,5.11,2006,serie-a,0,2,0,0,0,1,0,0
OrBBggxA,Palmeiras,Corinthians,1,0,1,0,2006-07-16,12,2.62,3.18,2.38,2006,serie-a,2,0,2,2,0,1,0,0
phC7fZM3,Cruzeiro,Goias,0,0,0,1,2006-07-16,12,1.5,3.65,5.81,2006,serie-a,0,0,0,0,0,0,0,0
xS8adehi,Gremio,Fluminense,4,4,8,1,2006-07-16,12,2.26,3.15,2.83,2006,serie-a,2,2,2,2,0,0,0,0
65LdYr61,Figueirense,Gremio,2,0,2,0,2006-07-22,13,1.74,3.35,4.09,2006,serie-a,0,2,0,0,1,0,1,1
ba8rdnb8,Corinthians,Fortaleza,2,2,4,1,2006-07-22,13,1.51,3.57,5.69,2006,serie-a,2,0,2,0,0,0,0,0
C2Cne6DE,Fluminense,Sao Caetano,2,2,4,1,2006-07-22,13,1.55,3.59,5.19,2006,serie-a,0,0,2,0,0,0,0,0
pdK0X2L7,Parana,Cruzeiro,1,0,1,0,2006-07-22,13,2.24,3.19,2.82,2006,serie-a,2,0,2,2,0,1,0,0
CQjVnrLf,Internacional,Botafogo RJ,0,0,0,1,2006-07-23,13,1.81,3.35,3.89,2006,serie-a,0,0,0,0,0,0,0,0
fR1ifQSK,Ponte Preta,Sao Paulo,1,3,4,2,2006-07-23,13,2.64,3.22,2.34,2006,serie-a,2,2,2,2,1,1,1,1
jB2Ml4jr,Santa Cruz,Flamengo RJ,3,0,3,0,2006-07-23,13,1.85,3.31,3.78,2006,serie-a,2,1,2,2,0,0,0,0
QTfZo2z1,Goias,Palmeiras,1,3,4,2,2006-07-23,13,1.67,3.41,4.44,2006,serie-a,0,2,0,0,0,1,0,0
U11QmO5l,Santos,Juventude,3,2,5,0,2006-07-23,13,1.58,3.55,5.0,2006,serie-a,0,2,0,0,1,0,1,1
YH0egprR,Vasco,Atletico-PR,2,1,3,0,2006-07-23,13,2.17,3.23,2.93,2006,serie-a,0,1,2,2,1,0,0,0
bsgspt5D,Sao Caetano,Ponte Preta,1,1,2,1,2006-07-29,14,1.51,3.68,5.58,2006,serie-a,0,2,0,0,0,0,0,0
KjfwoMk7,Juventude,Figueirense,1,0,1,0,2006-07-29,14,2.0,3.23,3.29,2006,serie-a,2,2,2,2,0,0,0,0
zaxQ8PsE,Palmeiras,Parana,4,2,6,0,2006-07-29,14,1.99,3.23,3.29,2006,serie-a,2,2,2,2,0,0,0,0
4KF801kf,Fluminense,Botafogo RJ,1,1,2,1,2006-07-30,14,1.76,3.35,4.06,2006,serie-a,0,0,2,0,0,0,0,0
8CzY63CQ,Vasco,Cruzeiro,1,0,1,0,2006-07-30,14,2.47,3.17,2.53,2006,serie-a,2,2,2,2,0,0,0,0
CpJGbuK6,Goias,Fortaleza,1,1,2,1,2006-07-30,14,1.51,3.6,5.84,2006,serie-a,0,0,0,0,0,0,0,0
EkyU7qcK,Atletico-PR,Flamengo RJ,1,0,1,0,2006-07-30,14,1.69,3.41,4.36,2006,serie-a,1,0,1,0,0,1,0,1
QTG41szl,Sao Paulo,Santos,0,4,4,2,2006-07-30,14,2.1,3.23,3.05,2006,serie-a,0,0,0,0,0,0,0,0
r5Ra2NKs,Santa Cruz,Corinthians,1,0,1,0,2006-07-30,14,2.56,3.17,2.44,2006,serie-a,0,0,1,0,1,1,0,1
YgKCaL40,Internacional,Gremio,0,0,0,1,2006-07-30,14,2.2,3.35,2.95,2006,serie-a,0,2,0,0,0,0,0,0
06aBKMtQ,Corinthians,Atletico-PR,2,1,3,0,2006-08-05,15,1.75,3.34,4.09,2006,serie-a,2,2,2,2,0,0,0,0
8CCPdJlJ,Figueirense,Sao Caetano,1,1,2,1,2006-08-05,15,1.7,3.4,4.33,2006,serie-a,0,0,0,0,0,0,0,0
f98LcaZC,Gremio,Juventude,1,0,1,0,2006-08-05,15,1.77,3.3,4.09,2006,serie-a,2,0,2,2,0,1,0,0
MF07L2RJ,Flamengo RJ,Goias,1,0,1,0,2006-08-05,15,1.83,3.29,3.76,2006,serie-a,2,2,2,2,0,0,0,0
4z4WFtks,Botafogo RJ,Sao Paulo,1,1,2,1,2006-08-06,15,2.21,3.22,2.92,2006,serie-a,2,2,2,2,0,0,0,0
C6fiBI3C,Fortaleza,Palmeiras,0,0,0,1,2006-08-06,15,2.46,3.17,2.54,2006,serie-a,2,2,0,2,0,0,0,0
ji6rDvZa,Ponte Preta,Fluminense,3,0,3,0,2006-08-06,15,2.51,3.17,2.49,2006,serie-a,2,2,2,2,0,0,0,0
rR2zF04m,Santos,Internacional,2,1,3,0,2006-08-06,15,1.44,3.71,6.52,2006,serie-a,2,0,0,0,0,1,1,1
xl2vEKJg,Parana,Vasco,2,1,3,0,2006-08-06,15,1.58,3.53,5.0,2006,serie-a,0,0,0,0,1,1,1,1
YFemCbl6,Cruzeiro,Santa Cruz,3,3,6,1,2006-08-06,15,1.36,4.06,7.5,2006,serie-a,0,0,0,0,0,0,0,0
KWca9dYO,Sao Caetano,Santa Cruz,2,0,2,0,2006-08-12,16,1.56,3.55,5.24,2006,serie-a,0,2,0,0,1,0,1,1
MyxrYuBP,Flamengo RJ,Ponte Preta,0,0,0,1,2006-08-12,16,1.62,3.5,4.75,2006,serie-a,2,2,0,0,0,0,0,0
rur9TaJt,Corinthians,Figueirense,1,3,4,2,2006-08-12,16,1.75,3.35,4.03,2006,serie-a,2,2,2,2,1,1,1,1
ttaeAxJI,Juventude,Vasco,0,0,0,1,2006-08-12,16,1.84,3.27,3.76,2006,serie-a,2,2,0,0,0,0,0,0
6sZTOyYB,Sao Paulo,Goias,2,1,3,0,2006-08-13,16,1.83,3.31,3.76,2006,serie-a,0,0,0,0,1,1,1,1
CKZPPHI5,Fortaleza,Internacional,1,2,3,2,2006-08-13,16,2.06,3.22,3.1,2006,serie-a,2,2,2,2,1,1,1,1
GhtHRwlg,Gremio,Atletico-PR,2,0,2,0,2006-08-13,16,2.31,3.22,2.7,2006,serie-a,0,0,2,2,1,1,0,0
KpwYNemI,Parana,Santos,1,1,2,1,2006-08-13,16,2.18,3.19,2.93,2006,serie-a,1,0,2,0,1,0,0,0
x2sDSJYn,Botafogo RJ,Palmeiras,1,3,4,2,2006-08-13,16,2.31,3.21,2.69,2006,serie-a,1,2,0,0,0,1,0,0
YTzMQc3a,Cruzeiro,Fluminense,2,3,5,2,2006-08-13,16,1.77,3.33,3.96,2006,serie-a,0,1,0,0,0,0,0,0
0ri26THp,Ponte Preta,Fortaleza,1,3,4,2,2006-08-16,17,1.58,3.45,5.2,2006,serie-a,0,0,2,0,0,0,1,0
6uvlUW9i,Santa Cruz,Gremio,2,4,6,2,2006-08-16,17,2.1,3.2,3.06,2006,serie-a,2,2,2,2,1,1,1,1
pWxhTjPc,Goias,Botafogo RJ,2,2,4,1,2006-08-16,17,1.69,3.33,4.5,2006,serie-a,0,2,0,2,0,0,0,0
SfSdSAv4,Figueirense,Flamengo RJ,1,1,2,1,2006-08-16,17,1.61,3.42,4.94,2006,serie-a,0,0,1,0,0,0,1,0
tbW0RUgA,Fluminense,Corinthians,1,2,3,2,2006-08-16,17,1.86,3.31,3.63,2006,serie-a,0,0,0,0,0,0,0,0
vZk65mXj,Vasco,Sao Caetano,1,2,3,2,2006-08-16,17,1.78,3.32,3.9,2006,serie-a,0,0,2,2,0,0,1,1
EBU8P8OM,Palmeiras,Juventude,1,1,2,1,2006-08-17,17,1.6,3.48,4.86,2006,serie-a,2,0,2,2,0,0,0,0
zLV4Ql9G,Santos,Cruzeiro,2,0,2,0,2006-08-17,17,1.71,3.34,4.28,2006,serie-a,0,2,0,2,1,0,1,0
SIAqJ61j,Ponte Preta,Goias,3,2,5,0,2006-08-19,18,2.1,3.2,3.07,2006,serie-a,2,0,2,2,0,1,0,0
vgEmIQGd,Flamengo RJ,Gremio,1,0,1,0,2006-08-19,18,2.11,3.19,3.02,2006,serie-a,2,2,0,2,0,0,1,0
C6WpNzKL,Figueirense,Atletico-PR,3,3,6,1,2006-08-20,18,1.65,3.42,4.65,2006,serie-a,0,0,0,0,0,0,0,0
jirxPdk9,Cruzeiro,Sao Paulo,2,2,4,1,2006-08-20,18,2.3,3.19,2.72,2006,serie-a,2,2,0,2,0,0,0,0
MHwYPxz3,Santos,Vasco,0,2,2,2,2006-08-20,18,1.49,3.64,6.11,2006,serie-a,0,0,0,0,0,0,0,0
MuMKGYdk,Corinthians,Botafogo RJ,1,0,1,0,2006-08-20,18,1.57,3.46,5.35,2006,serie-a,2,2,2,2,0,0,0,0
Q9zkMfZR,Parana,Sao Caetano,1,0,1,0,2006-08-20,18,1.69,3.42,4.32,2006,serie-a,0,0,2,0,1,1,0,1
rkNGHEsq,Internacional,Palmeiras,1,1,2,1,2006-08-20,18,1.83,3.28,3.87,2006,serie-a,0,2,0,0,0,0,0,0
rRvUQIKd,Fluminense,Santa Cruz,1,1,2,1,2006-08-20,18,1.4,4.02,6.65,2006,serie-a,0,0,0,0,0,0,0,0
UsstOG4F,Fortaleza,Juventude,4,1,5,0,2006-08-20,18,2.08,3.17,3.11,2006,serie-a,2,2,2,2,0,0,0,0
faq7xGJ8,Santa Cruz,Santos,1,1,2,1,2006-08-23,19,2.57,3.18,2.44,2006,serie-a,2,2,2,2,0,0,0,0
GEXFzflL,Sao Caetano,Flamengo RJ,2,2,4,1,2006-08-23,19,1.72,3.34,4.21,2006,serie-a,0,0,2,0,0,0,0,0
l2hHFhCe,Goias,Internacional,2,2,4,1,2006-08-23,19,2.24,3.2,2.84,2006,serie-a,2,2,2,2,0,0,0,0
plxKZD3R,Atletico-PR,Ponte Preta,3,0,3,0,2006-08-23,19,1.71,3.38,4.25,2006,serie-a,2,2,0,0,0,0,1,1
ShiLECR1,Palmeiras,Fluminense,3,0,3,0,2006-08-23,19,1.85,3.28,3.7,2006,serie-a,2,2,2,2,0,0,0,0
tdu3wd42,Botafogo RJ,Cruzeiro,1,0,1,0,2006-08-23,19,2.6,3.18,2.41,2006,serie-a,2,2,2,2,0,0,0,0
xOYByzZE,Juventude,Corinthians,0,0,0,1,2006-08-23,19,2.09,3.2,3.08,2006,serie-a,0,1,0,0,0,1,0,0
ncOoVXBr,Gremio,Fortaleza,4,1,5,0,2006-08-24,19,1.69,3.37,4.43,2006,serie-a,0,0,2,0,1,1,0,1
